type,price,beds,bath,propertysqft,latitude,longitude,borough,neighborhood,price_per_sqft
Multi-family,899000,5,3,1480.0,40.7253273,-73.8900898,Manhattan,Queens,607.43
House,818000,3,3,2184.207862,40.7396171,-73.8267571,Manhattan,Queens,374.51
House,409000,4,2,2184.207862,40.726173,-73.8202303,Manhattan,Queens,187.25
Co-op,259000,1,1,2184.207862,40.7199582,-73.8357232,Queens,Queens,118.58
House,850000,6,3,2280.0,40.6681319,-73.9948468,Brooklyn,Brooklyn,372.81
Townhouse,8750000,6,6,6000.0,40.6282935,-74.0379695,Manhattan,Brooklyn,1458.33
House,495000,2,2,953.0,40.6233738,-74.1599502,Manhattan,Staten Island,519.41
Co-op,825000,2,1,800.0,40.660279,-73.978949,Brooklyn,Brooklyn,1031.25
Co-op,1075000,4,2,1800.0,40.7487647,-73.8834851,Queens,Queens,597.22
House,1950000,5,4,4000.0,40.9057349,-73.9111699,Bronx,Bronx,487.5
Condo,578000,2,2,900.0,40.7265287,-73.8933039,Queens,Queens,642.22
Condo,8995000,5,4,4373.0,40.7620381,-73.9808958,Manhattan,Manhattan,2056.94
Condo,629000,3,2,1360.0,40.6063017,-74.0157592,Brooklyn,Brooklyn,462.5
Condo,329900,2,2,993.0,40.6689793,-73.8476549,Queens,Queens,332.23
House,1788888,4,4,2184.207862,40.7892182,-73.7997874,Manhattan,Queens,819.01
House,899000,5,2,2184.0,40.565557,-74.1329192,Manhattan,Staten Island,411.63
Condo,2150000,3,1,750.0,40.7696597,-73.962084,Manhattan,Manhattan,2866.67
House,1290000,3,2,2905.0,40.8964834,-73.899354,Manhattan,Bronx,444.06
Co-op,109000,1,1,2184.207862,40.8768714,-73.8742644,Bronx,Bronx,49.9
House,545000,6,3,1344.0,40.5804254,-74.1110462,Manhattan,Staten Island,405.51
Co-op,307000,2,1,960.0,40.8802558,-73.9168342,Bronx,Bronx,319.79
Condo,595000,1,1,750.0,40.726984,-73.9769367,Manhattan,Manhattan,793.33
House,1088888,5,4,2452.0,40.5908557,-74.1037852,Manhattan,Staten Island,444.08
Townhouse,650000,3,2,1912.0,40.8697126,-73.8565137,Manhattan,Bronx,339.96
Multi-family,949999,5,3,1740.0,40.6778227,-73.8350282,Manhattan,Queens,545.98
Multi-family,879000,4,2,1998.0,40.8527278,-73.833506,Manhattan,Bronx,439.94
House,850000,6,4,2886.0,40.6085633,-73.7686771,Manhattan,Queens,294.53
Co-op,675000,2,2,1200.0,40.6168668,-74.0380928,Brooklyn,Brooklyn,562.5
House,199000,2,1,900.0,40.6281757,-74.1797234,Manhattan,Staten Island,221.11
